resuming from observation id 58,100,202 (1,506,000 rows kept)
6,341,161 annotated observations in bbox

  59,600/6,341,161 scanned, 1,565,600 kept, pace 1.05s, 0 throttled
  59,800/6,341,161 scanned, 1,565,800 kept, pace 1.05s, 0 throttled
  60,000/6,341,161 scanned, 1,566,000 kept, pace 1.05s, 0 throttled
  60,200/6,341,161 scanned, 1,566,200 kept, pace 1.05s, 0 throttled
  60,400/6,341,161 scanned, 1,566,400 kept, pace 1.05s, 0 throttled
  60,600/6,341,161 scanned, 1,566,600 kept, pace 1.05s, 0 throttled
  60,800/6,341,161 scanned, 1,566,800 kept, pace 1.05s, 0 throttled
  61,000/6,341,161 scanned, 1,567,000 kept, pace 1.05s, 0 throttled
  61,200/6,341,161 scanned, 1,567,200 kept, pace 1.05s, 0 throttled
  61,400/6,341,161 scanned, 1,567,400 kept, pace 1.05s, 0 throttled
  61,600/6,341,161 scanned, 1,567,600 kept, pace 1.05s, 0 throttled
  61,800/6,341,161 scanned, 1,567,800 kept, pace 1.05s, 0 throttled
  62,000/6,341,161 scanned, 1,568,000 kept, pace 1.05s, 0 throttled
  62,200/6,341,161 scanned, 1,568,200 kept, pace 1.05s, 0 throttled
  62,400/6,341,161 scanned, 1,568,400 kept, pace 1.05s, 0 throttled
  62,600/6,341,161 scanned, 1,568,600 kept, pace 1.05s, 0 throttled
  62,800/6,341,161 scanned, 1,568,800 kept, pace 1.05s, 0 throttled
  63,000/6,341,161 scanned, 1,569,000 kept, pace 1.05s, 0 throttled
  63,200/6,341,161 scanned, 1,569,200 kept, pace 1.05s, 0 throttled
  63,400/6,341,161 scanned, 1,569,400 kept, pace 1.05s, 0 throttled
  63,600/6,341,161 scanned, 1,569,600 kept, pace 1.05s, 0 throttled
  63,800/6,341,161 scanned, 1,569,800 kept, pace 1.05s, 0 throttled
  64,000/6,341,161 scanned, 1,570,000 kept, pace 1.05s, 0 throttled
  64,200/6,341,161 scanned, 1,570,200 kept, pace 1.05s, 0 throttled
  64,400/6,341,161 scanned, 1,570,400 kept, pace 1.05s, 0 throttled
  64,600/6,341,161 scanned, 1,570,600 kept, pace 1.05s, 0 throttled
  64,800/6,341,161 scanned, 1,570,800 kept, pace 1.05s, 0 throttled
  65,000/6,341,161 scanned, 1,571,000 kept, pace 1.05s, 0 throttled
  65,200/6,341,161 scanned, 1,571,200 kept, pace 1.05s, 0 throttled
  65,400/6,341,161 scanned, 1,571,400 kept, pace 1.05s, 0 throttled
  65,600/6,341,161 scanned, 1,571,600 kept, pace 1.05s, 0 throttled
  65,800/6,341,161 scanned, 1,571,800 kept, pace 1.05s, 0 throttled
  66,000/6,341,161 scanned, 1,572,000 kept, pace 1.05s, 0 throttled
  66,200/6,341,161 scanned, 1,572,200 kept, pace 1.05s, 0 throttled
  66,400/6,341,161 scanned, 1,572,400 kept, pace 1.05s, 0 throttled
  66,600/6,341,161 scanned, 1,572,600 kept, pace 1.05s, 0 throttled
  66,800/6,341,161 scanned, 1,572,800 kept, pace 1.05s, 0 throttled
  67,000/6,341,161 scanned, 1,573,000 kept, pace 1.05s, 0 throttled
  67,200/6,341,161 scanned, 1,573,200 kept, pace 1.05s, 0 throttled
  67,400/6,341,161 scanned, 1,573,400 kept, pace 1.05s, 0 throttled
  67,600/6,341,161 scanned, 1,573,600 kept, pace 1.05s, 0 throttled
  67,800/6,341,161 scanned, 1,573,800 kept, pace 1.05s, 0 throttled
  68,000/6,341,161 scanned, 1,574,000 kept, pace 1.05s, 0 throttled
  68,200/6,341,161 scanned, 1,574,200 kept, pace 1.05s, 0 throttled
  68,400/6,341,161 scanned, 1,574,400 kept, pace 1.05s, 0 throttled
  68,600/6,341,161 scanned, 1,574,600 kept, pace 1.05s, 0 throttled
  68,800/6,341,161 scanned, 1,574,800 kept, pace 1.05s, 0 throttled
